barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	453	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode02	barcode02	test_sample	47463	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode03	barcode03	test_sample	34941	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode04	barcode04	test_sample	82985	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode05	barcode05	test_sample	15333	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode06	barcode06	test_sample	40433	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode07	barcode07	test_sample	9111	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode08	barcode08	test_sample	23858	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode09	barcode09	test_sample	30912	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode10	barcode10	test_sample	14652	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode11	barcode11	test_sample	23742	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode12	barcode12	test_sample	9501	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode13	barcode13	test_sample	1056	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode14	barcode14	test_sample	13380	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode15	barcode15	test_sample	37801	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode16	barcode16	test_sample	46017	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode17	barcode17	test_sample	10671	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode18	barcode18	test_sample	14923	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode19	barcode19	test_sample	15278	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode20	barcode20	test_sample	20572	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode21	barcode21	test_sample	27363	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode22	barcode22	test_sample	27887	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode23	barcode23	test_sample	18545	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode24	barcode24	test_sample	21836	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode25	barcode25	test_sample	795	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode26	barcode26	test_sample	47773	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
barcode27	barcode27	test_sample	30806	c7826bebcc53f040d6330e68ba61333240ea7d05	Californication	no_sample	FAQ33068	2022-01-14T19:14:27.834846-08:00
